name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,recipe
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,West Bengal,East,"Step 1: Chop all vegetables and prepare Moong dal, garam masala powder, garlic, green chilli, all purpose flour. Step 2: Cook the main ingredient (Daal puri) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,Punjab,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Red kidney beans, urad dal, cream, garam masala, chili powder). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Dal makhani !"
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,spicy,main course,Punjab,North,"Step 1: Gather all ingredients - Pigeon peas, garam masala, ginger, red onion, kasuri methi. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Dal tadka) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,Jammu & Kashmir,North,"Step 1: Gather all ingredients - Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Dum aloo) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,spicy,snack,Maharashtra,West,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Beaten rice flakes, potato, curry leaves, green chilies, lemon juice). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Poha!"
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,10,60,spicy,snack,Chhattisgarh,Central,"Step 1: Gather all ingredients - Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Fara) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,snack,Uttar Pradesh,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Moong dal, rava, garam masala, dough, fennel seeds). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Kachori!"
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,20,30,spicy,main course,Punjab,North,"Step 1: Gather all ingredients - Cottage cheese, bell peppers, gravy, garam masala, cashew nuts. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Kadai paneer) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,10,60,spicy,main course,Haryana,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Besan, garam masala powder, gram flour, ginger, curry leaves). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Kadhi pakoda!"
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,20,50,bitter,main course,Punjab,North,"Step 1: Gather all ingredients - Bitter gourd, fennel, garam masala powder, chili powder, amchur powder. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Karela bharta) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,40,20,spicy,main course,-1,-1,"Step 1: Gather all ingredients - Moong dal, green peas, ginger, tomato, green chili. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Khichdi) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,"Step 1: Chop all vegetables and prepare Paneer, potato, cream, corn flour, garam masala. Step 2: Cook the main ingredient (Kofta) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,45,25,sweet,dessert,-1,-1,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Rose syrup, falooda sev, mixed nuts, saffron, sugar). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Kulfi falooda!"
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,"Step 1: Chop all vegetables and prepare Bottle gourd, garam masala powder, gram flour, ginger, chillies. Step 2: Cook the main ingredient (Lauki ke kofte) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,10,20,spicy,main course,-1,-1,"Step 1: Chop all vegetables and prepare Bottle gourd, coconut oil, garam masala, ginger, green chillies. Step 2: Cook the main ingredient (Lauki ki subji) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,45,60,spicy,main course,Bihar,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Wheat flour, roasted gram flour, tomato, nigella seeds, chilli). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Litti chokha!"
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",vegetarian,25,30,spicy,main course,Punjab,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Palak, makki atta, mustard green, garam masala, ginger). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Makki di roti sarson da saag!"
Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,30,30,spicy,main course,Punjab,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Whole wheat flour, chickpea flour, green chilies). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Misi roti!"
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,10,30,spicy,main course,Punjab,North,"Step 1: Gather all ingredients - Mushroom, malai, garam masala, ginger, capsicum. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Mushroom do pyaza) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,10,30,spicy,main course,Punjab,North,"Step 1: Chop all vegetables and prepare Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes. Step 2: Cook the main ingredient (Mushroom matar) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Naan,"Whole wheat flour, honey, butter, garlic",vegetarian,60,30,-1,main course,Punjab,North,"Step 1: Chop all vegetables and prepare Whole wheat flour, honey, butter, garlic. Step 2: Cook the main ingredient (Naan) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,25,40,spicy,main course,Uttar Pradesh,North,"Step 1: Chop all vegetables and prepare Green beans, potatoes, khus khus, low fat, garam masala powder. Step 2: Cook the main ingredient (Navrattan korma) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,20,40,spicy,main course,Punjab,North,"Step 1: Gather all ingredients - Cottage cheese, palak, cream, garam masala, butter. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Palak paneer) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,20,40,spicy,main course,Punjab,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Paneer, whipping cream, garam masala, cashew nuts, butter). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Paneer butter masala!"
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,20,40,spicy,main course,Punjab,North,"Step 1: Chop all vegetables and prepare Paneer, greek yogurt, tandoori masala, cream, bell pepper. Step 2: Cook the main ingredient (Paneer tikka masala) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,15,2,spicy,snack,-1,-1,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Kala chana, mashed potato, boondi, sev, lemon). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Pani puri!"
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,10,25,sweet,dessert,Uttar Pradesh,,"Step 1: Chop all vegetables and prepare Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina. Step 2: Cook the main ingredient (Panjeeri) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,5,5,spicy,snack,-1,-1,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Urad dal, sev, lemon juice, chopped tomatoes). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Papad!"
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,15,45,spicy,main course,Punjab,North,"Step 1: Chop all vegetables and prepare Wheat flour, butter, potato, coriander. Step 2: Cook the main ingredient (Paratha) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,30,spicy,main course,Rajasthan,West,"Step 1: Chop all vegetables and prepare Arbi ke patte, sesame seeds, gur, bengal gram flour, imli. Step 2: Cook the main ingredient (Pattor) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,500,120,spicy,main course,Punjab,North,"Step 1: Gather all ingredients - Fennel, tea bags, tomato, kasuri methi, cinnamon. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Pindi chana) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,15,90,spicy,main course,-1,North,"Step 1: Gather all ingredients - Red kidney beans, garam masala powder, ginger, tomato, mustard oil. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Rajma chaval) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,10,30,-1,main course,Punjab,North,"Step 1: Chop all vegetables and prepare Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil. Step 2: Cook the main ingredient (Rongi) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,30,30,spicy,snack,-1,-1,"Step 1: Gather all ingredients - Potatoes, green peas, garam masala, ginger, dough. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Samosa) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",vegetarian,10,20,spicy,main course,Bihar,North,"Step 1: Gather all ingredients - Sattu, atta, dough, filling, mustard oil. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Sattu ki roti) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,20,40,spicy,main course,Punjab,North,"Step 1: Gather all ingredients - Cottage cheese, malai, garam masala, ginger, tomato. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Shahi paneer) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",vegetarian,10,30,sweet,dessert,Telangana,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Rose water, milk, white bread slices, saffron, almonds). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Shahi tukra!"
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",vegetarian,10,30,spicy,main course,Punjab,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Baby corn, french beans, garam masala, ginger, carrot). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Vegetable jalfrezi!"
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non vegetarian,240,30,spicy,main course,Punjab,North,"Step 1: Gather all ingredients - Greek yogurt, garam masala, kasuri methi, marinade, mustard oil. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Tandoori Chicken) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,240,30,spicy,starter,Punjab,North,"Step 1: Gather all ingredients - Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Tandoori Fish Tikka) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,150,25,spicy,snack,Andhra Pradesh,South,"Step 1: Chop all vegetables and prepare Whole wheat flour, arhar dal, ginger, kala jeera, green chilli. Step 2: Cook the main ingredient (Attu) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,30,45,spicy,main course,Kerala,South,"Step 1: Chop all vegetables and prepare Raw banana, elephant foot yam, long beans, tindora, urad dal. Step 2: Cook the main ingredient (Avial) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,30,45,spicy,main course,Karnataka,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Split pigeon peas, chana dal, urad dal, green peas, french beans). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Bisi bele bath!"
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Step 1: Gather all ingredients - Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Currivepillai sadam ) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,360,90,spicy,snack,-1,South,"Step 1: Gather all ingredients - Chana dal, urad dal, whole urad dal, blend rice, rock salt. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Dosa) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Idiappam,"Rice flour, hot water, grated coconut",vegetarian,120,30,spicy,snack,Tamil Nadu,South,"Step 1: Gather all ingredients - Rice flour, hot water, grated coconut. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Idiappam) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,360,90,spicy,snack,-1,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Split urad dal, urad dal, idli rice, thick poha, rock salt). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Idli!"
Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,10,45,-1,snack,Kerala,South,"Step 1: Gather all ingredients - Carrot, yellow mustard, red chilli, black salt. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Kanji) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Sesame oil, drumstick, tamarind paste, sambar powder, tomato). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Kaara kozhambu!"
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,20,30,spicy,main course,Tamil Nadu,South,"Step 1: Chop all vegetables and prepare Moong dal, chana dal, spinach, urad dal, coconut oil. Step 2: Cook the main ingredient (Keerai kootu) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,"Step 1: Gather all ingredients - Urad dal, curry leaves, sugar, mustard seeds, spinach. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Keerai masiyal) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Step 1: Gather all ingredients - Greens, tomato, mustard seeds, fenugreek seeds. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Keerai sadam) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,20,30,spicy,main course,Tamil Nadu,South,"Step 1: Chop all vegetables and prepare Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili. Step 2: Cook the main ingredient (Keerai poriyal) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,10,60,spicy,main course,Kerala,South,"Step 1: Chop all vegetables and prepare Beef, coconut, garam masala, curry leaves, green chilies, chili powder. Step 2: Cook the main ingredient (Beef Fry) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Kootu,"Chana dal, urad dal, potato, beans, peas",vegetarian,10,15,spicy,main course,Tamil Nadu,South,"Step 1: Gather all ingredients - Chana dal, urad dal, potato, beans, peas. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Kootu) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Step 1: Gather all ingredients - Moong dal, chana dal, cabbage, tamarind, curry leaves. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Kos kootu) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,10,20,spicy,main course,Karnataka,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Moong dal, cucumber, curry leaves, green chili, lemon juice). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Koshambri!"
Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Step 1: Chop all vegetables and prepare Chana dal, urad dal, gooseberry, raw rice, curry leaves. Step 2: Cook the main ingredient (Kothamali sadam) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",vegetarian,10,90,spicy,main course,Tamil Nadu,South,"Step 1: Chop all vegetables and prepare Sesame oil, raw rice, jaggery, grated coconut. Step 2: Cook the main ingredient (Kuzhakkattai) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,5,30,spicy,main course,Tamil Nadu,South,"Step 1: Gather all ingredients - Pearl onions, urad dal, drumsticks, tomato, curry leaves. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Kuzhambu) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,360,90,spicy,snack,-1,South,"Step 1: Gather all ingredients - Chana dal, urad dal, potatoes, idli rice, thick poha. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Masala Dosa) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,10,25,-1,main course,-1,South,"Step 1: Gather all ingredients - Coconut oil, cucumber, curd, curry leaves, mustard seeds. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Pachadi) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,10,20,-1,main course,Tamil Nadu,South,"Step 1: Chop all vegetables and prepare Yogurt, ginger, curry leaves, baking soda, green chilli. Step 2: Cook the main ingredient (Paniyaram) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Papadum,"Lentils, black pepper, vegetable oil",vegetarian,5,5,spicy,snack,Kerala,South,"Step 1: Gather all ingredients - Lentils, black pepper, vegetable oil. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Papadum) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Paravannam,"Raw rice,  jaggery, milk",vegetarian,-1,-1,spicy,main course,Kerala,South,"Step 1: Gather all ingredients - Raw rice,  jaggery, milk. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Paravannam) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Payasam,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,15,30,sweet,dessert,-1,South,"Step 1: Gather all ingredients - Rice, cashew nuts, milk, raisins, sugar. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Payasam) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,10,20,-1,main course,Tamil Nadu,South,"Step 1: Chop all vegetables and prepare Arhar dal, sambar powder, tomato, curry leaves, fennel seeds. Step 2: Cook the main ingredient (Paruppu sadam) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Pesarattu,"Green moong beans, rice flour",vegetarian,120,20,spicy,snack,Andhra Pradesh,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Green moong beans, rice flour). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Pesarattu!"
Poriyal,"Chana dal, urad dal, beans, coconut, mustard",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,"Step 1: Gather all ingredients - Chana dal, urad dal, beans, coconut, mustard. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Poriyal) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,10,20,-1,main course,Tamil Nadu,South,"Step 1: Gather all ingredients - Urad dal, lemon, tamarind, cooked rice, curry leaves. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Puli sadam) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,10,35,spicy,main course,-1,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Tomato, curry leaves, garlic, mustard seeds, hot water). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Rasam!"
Puttu,"Brown rice flour, sugar, grated coconut",vegetarian,495,40,-1,main course,Kerala,South,"Step 1: Chop all vegetables and prepare Brown rice flour, sugar, grated coconut. Step 2: Cook the main ingredient (Puttu) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,20,45,spicy,main course,-1,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Pigeon peas, eggplant, drumsticks, sambar powder, tamarind). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Sambar!"
Sandige,"Thin rice flakes, black sesame seeds, curry leaves",vegetarian,120,60,-1,main course,Karnataka,South,"Step 1: Chop all vegetables and prepare Thin rice flakes, black sesame seeds, curry leaves. Step 2: Cook the main ingredient (Sandige) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Sevai,"Sevai, parboiled rice, steamer",vegetarian,120,30,-1,main course,-1,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Sevai, parboiled rice, steamer). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Sevai!"
Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,10,20,-1,main course,Tamil Nadu,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Thayir sadam!"
Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,15,20,-1,main course,Kerala,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Coconut, whole red beans, masala, sesame oil, tamarind). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Theeyal!"
Uttapam,"Chana dal, urad dal, thick poha, tomato, butter",vegetarian,10,20,spicy,snack,-1,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Chana dal, urad dal, thick poha, tomato, butter). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Uttapam!"
